trust_code,trust_name,available_beds,occupied_beds
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2769.0,2682.3888888888887
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,855.2777777777778,678.1222222222223
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,96.05555555555556,85.57777777777778
RT2,PENNINE CARE NHS FOUNDATION TRUST,0.0,0.0
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1454.7777777777778,1256.1333333333334
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,806.5222222222222,741.9666666666667
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,874.6666666666666,784.0333333333333
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1472.2111111111112,1393.8777777777775
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1026.1333333333334,931.6333333333332
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,473.22222222222223,435.4555555555556
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,660.1888888888889,616.9111111111112
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,956.2333333333332,849.1666666666666
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0.0,0.0
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,73.35555555555555,68.4
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,0.0,0.0
RVJ,NORTH BRISTOL NHS TRUST,993.2333333333332,958.9777777777778
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,0.0,0.0
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,707.2555555555556,605.3888888888889
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1045.9888888888888,968.5444444444444
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,534.0444444444445,500.3555555555556
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,185.94444444444449,174.9777777777778
RW4,MERSEY CARE NHS FOUNDATION TRUST,0.0,0.0
RW5,LANCASHIRE CARE NHS FOUNDATION TRUST,0.0,0.0
RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1123.8444444444444,1043.2444444444443
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,990.0,793.4
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1777.2333333333331,1714.3
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,693.7777777777778,614.1555555555556
RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,663.0,516.0444444444445
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0.0,0.0
RWJ,STOCKPORT NHS FOUNDATION TRUST,622.7888888888889,578.1555555555556
RWK,EAST LONDON NHS FOUNDATION TRUST,39.0,34.08888888888889
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,880.9333333333333,824.6444444444444
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,0.0,0.0
RWV,DEVON PARTNERSHIP NHS TRUST,0.0,0.0
