trust_code,trust_name,rtt_total_waiting,rtt_over_18_weeks
NT457,WOODLANDS HOSPITAL,5322,1158.0
NT490,SOUTHEND PRIVATE HOSPITAL,2076,266.0
NTE02,ST HUGH'S HOSPITAL,3882,888.0
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,21238,7702.0
NTP13,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,3906,916.0
NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,9438,3158.0
NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,2060,200.0
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,3726,130.0
NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,3170,118.0
NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,5410,1554.0
NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,10346,2184.0
NTPH3,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,5826,1338.0
NTPH5,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,3142,478.0
NTX,THE ONE HEALTH GROUP PLC,11456,3150.0
NV1,INHEALTH LIMITED,2028,390.0
NVC01,ASHTEAD HOSPITAL,2066,582.0
NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL,2190,502.0
NVC04,DUCHY HOSPITAL,3240,1280.0
NVC05,EUXTON HALL HOSPITAL,6684,2096.0
NVC06,FITZWILLIAM HOSPITAL,13760,7670.0
NVC07,FULWOOD HALL HOSPITAL,8626,2468.0
NVC08,MOUNT STUART HOSPITAL,4624,1916.0
NVC09,NEW HALL HOSPITAL,6852,1938.0
NVC0I,BEACON PARK HOSPITAL,2886,1184.0
NVC0R,TEES VALLEY HOSPITAL,8608,2118.0
NVC0Y,EXETER MEDICAL,512,74.0
NVC11,NORTH DOWNS HOSPITAL,3028,1036.0
NVC12,OAKLANDS HOSPITAL,7614,2904.0
NVC13,OAKS HOSPITAL,2294,978.0
NVC14,PARK HILL HOSPITAL,1530,374.0
NVC15,PINEHILL HOSPITAL,3624,1334.0
NVC16,RENACRES HOSPITAL,10584,5270.0
NVC17,ROWLEY HALL HOSPITAL,5258,2176.0
NVC18,SPRINGFIELD HOSPITAL,9950,2804.0
NVC19,RIVERS HOSPITAL,9532,3210.0
NVC1H,STOURSIDE HOSPITAL,5922,1758.0
NVC20,THE YORKSHIRE CLINIC,14828,3790.0
NVC21,WEST MIDLANDS HOSPITAL,878,310.0
NVC22,WINFIELD HOSPITAL,2230,568.0
