trust_code,trust_name,provider_type_source,backlog_maintenance_cost,floor_area_m2
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ACUTE - MEDIUM,73892580.0,93000.0
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,254203507.0,429104.0
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,48336849.0,113400.0
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ACUTE - MEDIUM,65941034.0,132677.0
RRJ,ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,7051500.0,25453.0
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ACUTE - TEACHING,440556166.0,440007.0
RRU,LONDON AMBULANCE SERVICE NHS TRUST,AMBULANCE,14672666.0,74548.0
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,253036343.0,212704.0
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,7047566.0,60565.0
RT2,PENNINE CARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,29619315.0,71744.0
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,21931004.0,99369.0
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,182163927.0,294937.0
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - LARGE,82984018.0,173114.0
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ACUTE - LARGE,66900833.0,185149.0
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,ACUTE - TEACHING,82822254.0,298509.0
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,265295884.0,306209.0
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,93392403.0,83738.0
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ACUTE - MEDIUM,96084250.0,100469.0
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,16185868.0,68756.0
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,39349501.0,183210.0
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ACUTE - TEACHING,42697369.0,136574.0
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,45292485.0,118343.0
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,172970399.0,93721.0
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,30285136.0,46790.0
RVJ,NORTH BRISTOL NHS TRUST,ACUTE - LARGE,42476944.0,176394.0
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,20292211.0,77163.0
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ACUTE - TEACHING,142100648.0,83159.0
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,239886177.0,180953.0
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ACUTE - MEDIUM,155282354.0,118779.0
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,41059318.0,153210.0
RW4,MERSEY CARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,22371511.0,153760.0
