trust_code,trust_name,provider_type_source,rvpi_rank,rvpi_z,rvpi_percentile,cluster,components_available
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,77,-0.19606598857418556,33.33333333333333,3,6
R1H,BARTS HEALTH NHS TRUST,ACUTE - TEACHING,78,-0.2023685339115253,32.45614035087719,2,6
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,ACUTE - SMALL,79,-0.23196084333733857,31.57894736842105,1,6
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,80,-0.23527169016029334,30.701754385964914,3,6
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,ACUTE - TEACHING,81,-0.2384985022427736,29.82456140350877,3,6
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,82,-0.2403201602966142,28.947368421052634,4,6
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,83,-0.24166176021451072,28.07017543859649,2,6
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ACUTE - TEACHING,84,-0.24358855303550628,27.192982456140353,3,6
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - LARGE,85,-0.2529049116501061,26.31578947368421,2,6
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ACUTE - SMALL,86,-0.2666826333216824,25.438596491228072,1,6
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,ACUTE - LARGE,87,-0.2668843546691888,24.561403508771928,3,6
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ACUTE - MEDIUM,88,-0.2737671490619405,23.684210526315788,2,6
RVJ,NORTH BRISTOL NHS TRUST,ACUTE - LARGE,89,-0.2769907732316116,22.807017543859647,3,6
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,90,-0.2818231483284325,21.929824561403507,2,6
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,ACUTE - MEDIUM,91,-0.28686238153011806,21.052631578947366,3,6
