trust_code,trust_name,baseline_score,baseline_rank,no_estates_score,no_estates_rank,no_estates_rank_movement,percentile_score,percentile_rank,percentile_rank_movement,complete_case_score,complete_case_rank,complete_case_rank_movement,baseline_top_decile_flag,no_estates_top_decile_flag,percentile_top_decile_flag,complete_case_top_decile_flag
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,-0.0190099712165249,62,0.12330563076983839,45,-17,49.19784712518759,68,6,-0.02299092371695982,61,-1,False,False,False,False
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,-0.0283479459156788,63,0.11231655040749514,48,-15,49.408735703565696,65,2,-0.032878082026949494,62,-1,False,False,False,False
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,-0.036991865483795,64,0.0395173144188389,61,-3,52.41034000931533,53,-11,-0.04071424404549453,63,-1,False,False,False,False
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,-0.0390730169122331,65,0.11728138130082984,46,-19,47.12130621539098,74,9,-0.0427128090238601,64,-1,False,False,False,False
RPA,MEDWAY NHS FOUNDATION TRUST,-0.0527362449259217,66,-0.15684556833769975,76,10,51.39471096620607,58,-8,-0.05457065864519772,65,-1,False,False,False,False
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",-0.0560724449615996,67,0.01094416131531104,62,-5,56.47285618175232,34,-33,-0.05756806397726869,66,-1,False,False,False,False
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,-0.0602626088989272,68,-0.3752248772543171,95,27,44.784712518760024,80,12,-0.06428241084998891,67,-1,False,False,False,False
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,-0.1005257997336733,69,-0.07839254685632627,68,-1,51.2291052114061,60,-9,-0.10303382584717376,68,-1,False,False,False,False
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,-0.1122657538196144,70,-0.12994165279863332,73,3,49.85768255446877,63,-7,-0.11589445950632911,69,-1,False,False,False,False
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,-0.124758262553415,71,-0.05216699829614896,65,-6,49.879677068778136,62,-9,-0.12832153720865885,70,-1,False,False,False,False
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,-0.1329492054828568,72,-0.29200630674644856,89,17,47.250685711328465,73,1,-0.13622802793653588,71,-1,False,False,False,False
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,-0.1344226944816936,73,-0.3601570644233699,93,20,56.71091445427728,32,-41,-0.13748724729735476,72,-1,False,False,False,False
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,-0.1370483527396802,74,-0.005998594871916074,63,-11,41.32122341251358,90,16,-0.14179006315327927,73,-1,False,False,False,False
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,-0.1406347720946561,75,-0.08505768768498836,69,-6,46.85478445375977,76,1,-0.14627400867246843,74,-1,False,False,False,False
RNZ,SALISBURY NHS FOUNDATION TRUST,-0.1955094763690111,76,-0.276145522602421,86,10,45.29834911763184,79,3,-0.20040306211438663,75,-1,False,False,False,False
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,-0.1960659885741855,77,-0.14991885744132677,75,-2,42.079387258707236,88,11,-0.20067911908313127,76,-1,False,False,False,False
R1H,BARTS HEALTH NHS TRUST,-0.2023685339115253,78,-0.39522652311296796,96,18,47.45251772499094,72,-6,-0.20465704346569216,77,-1,False,False,False,False
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,-0.2319608433373385,79,-0.23447854424007505,82,3,48.4784971277752,69,-10,-0.23514968347996498,78,-1,False,False,False,False
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,-0.2352716901602933,80,-0.2804100755115063,87,7,44.775655954044396,81,1,-0.23937240999386847,79,-1,False,False,False,False
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,-0.2384985022427736,81,-0.19823656288395458,78,-3,39.14894167572323,95,14,-0.24296433492376646,80,-1,False,False,False,False
