trust_code,trust_name,primary_rvpi_rank,primary_rvpi_z,primary_rvpi_percentile,primary_cluster,full_rvpi_rank,full_rvpi_z,full_rvpi_percentile,full_cluster,rank_change_primary_minus_full,absolute_rank_change,percentile_change_primary_minus_full,ordered_cluster_label_agrees
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,61,-0.014861854478578906,47.368421052631575,3,48,0.19834493972254474,63.84615384615384,1,13,13,-16.477732793522264,False
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,62,-0.01900997121652496,46.49122807017544,4,85,0.03306829070702046,35.38461538461539,1,-23,23,11.106612685560052,False
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,63,-0.02834794591567888,45.614035087719294,3,73,0.09895618335835454,44.61538461538462,1,-10,10,0.9986504723346741,False
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,64,-0.03699186548379502,44.73684210526316,1,87,0.018994562073362257,33.84615384615385,1,-23,23,10.89068825910931,True
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,65,-0.039073016912233104,43.859649122807014,4,89,-0.002098937745901041,32.30769230769231,1,-24,24,11.551956815114707,False
RPA,MEDWAY NHS FOUNDATION TRUST,66,-0.05273624492592177,42.98245614035088,2,63,0.1346703557450879,52.307692307692314,1,3,3,-9.325236167341437,False
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",67,-0.05607244496159961,42.10526315789473,2,79,0.07325512199306435,40.0,1,-12,12,2.1052631578947327,False
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,68,-0.060262608898927206,41.228070175438596,2,34,0.3274370847605704,74.61538461538461,1,34,34,-33.38731443994602,False
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,69,-0.10052579973367337,40.35087719298245,2,78,0.07468999815513383,40.76923076923077,1,-9,9,-0.4183535762483146,False
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,70,-0.1122657538196144,39.473684210526315,4,72,0.10217578035383891,45.38461538461539,1,-2,2,-5.910931174089072,False
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,71,-0.124758262553415,38.59649122807017,2,67,0.116822067256985,49.23076923076923,1,4,4,-10.634278002699062,False
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,72,-0.13294920548285685,37.719298245614034,2,52,0.18509566015649562,60.76923076923077,1,20,20,-23.049932523616732,False
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,73,-0.13442269448169364,36.84210526315789,1,74,0.09855454777649199,43.84615384615385,1,-1,1,-7.0040485829959565,True
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,74,-0.13704835273968025,35.96491228070175,3,75,0.09381841697390701,43.07692307692308,1,-1,1,-7.112010796221327,False
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,75,-0.14063477209465616,35.08771929824561,3,49,0.19295073963056672,63.07692307692307,1,26,26,-27.989203778677464,False
RNZ,SALISBURY NHS FOUNDATION TRUST,76,-0.1955094763690111,34.21052631578947,3,51,0.1869390547828942,61.53846153846154,1,25,25,-27.327935222672068,False
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,77,-0.19606598857418556,33.33333333333333,3,71,0.10285970940096094,46.15384615384615,1,6,6,-12.820512820512825,False
R1H,BARTS HEALTH NHS TRUST,78,-0.2023685339115253,32.45614035087719,2,60,0.14422442887882853,54.61538461538461,1,18,18,-22.15924426450742,False
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,79,-0.23196084333733857,31.57894736842105,1,86,0.02325432121487726,34.61538461538461,1,-7,7,-3.036437246963562,True
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,80,-0.23527169016029334,30.701754385964914,3,82,0.06064976525600305,37.69230769230769,1,-2,2,-6.990553306342779,False
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,81,-0.2384985022427736,29.82456140350877,3,68,0.11492574851697268,48.46153846153846,1,13,13,-18.63697705802969,False
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,82,-0.2403201602966142,28.947368421052634,4,108,-0.13089679593268055,17.692307692307693,1,-26,26,11.25506072874494,False
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,83,-0.24166176021451072,28.07017543859649,2,99,-0.05557770023282003,24.615384615384617,1,-16,16,3.454790823211873,False
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,84,-0.24358855303550628,27.192982456140353,3,105,-0.09858232364964574,20.0,1,-21,21,7.192982456140353,False
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,85,-0.2529049116501061,26.31578947368421,2,69,0.11451031236139518,47.69230769230769,1,16,16,-21.376518218623485,False
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,86,-0.2666826333216824,25.438596491228072,1,98,-0.049805361054546894,25.384615384615383,1,-12,12,0.053981106612688734,True
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,87,-0.2668843546691888,24.561403508771928,3,94,-0.019155288772909538,28.46153846153846,1,-7,7,-3.900134952766532,False
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,88,-0.2737671490619405,23.684210526315788,2,88,0.014342935455852418,33.07692307692307,1,0,0,-9.392712550607285,False
RVJ,NORTH BRISTOL NHS TRUST,89,-0.2769907732316116,22.807017543859647,3,66,0.12365257596154645,50.0,1,23,23,-27.192982456140353,False
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,90,-0.2818231483284325,21.929824561403507,2,96,-0.029024487627638956,26.923076923076923,1,-6,6,-4.993252361673417,False
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,91,-0.28686238153011806,21.052631578947366,3,84,0.038905222273031954,36.15384615384615,1,7,7,-15.101214574898787,False
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,92,-0.2971483891227957,20.175438596491226,2,64,0.13167991224620282,51.53846153846153,1,28,28,-31.363022941970307,False
